time_received,time_viewed,reward,difficulty,duration,channels_email,channels_mobile,channels_social,channels_web,offer_type_bogo,offer_type_discount,offer_type_informational,time_completed,amount,age,income,gender_F,gender_M,gender_O,gender_U,account_age
0.861111111111111,0.4689265536723164,0.30000000000000004,0.41666666666666674,0.6190476190476188,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.0,0.7086834733893558,0.049412151553599126,0.18072289156626506,0.4666666666666667,0.0,1.0,0.0,0.0,0.25287986834887544
0.5833333333333333,0.4661016949152542,0.5,0.25,0.28571428571428564,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.40336134453781514,0.11494511280064564,0.49397590361445787,0.6666666666666666,1.0,0.0,0.0,0.0,0.4794295117937465
0.625,0.3954802259887006,0.30000000000000004,0.6666666666666667,0.9999999999999998,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,0.0,0.6834733893557423,0.06293863508053461,0.0963855421686747,0.47777777777777775,1.0,0.0,0.0,0.0,0.2194185408667032
0.7638888888888888,0.0,0.30000000000000004,0.6666666666666667,0.7142857142857142,1.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.012048192771084348,0.38888888888888884,1.0,0.0,0.0,0.0,0.3927591881513989
0.29166666666666663,0.0,0.0,0.0,0.14285714285714285,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.3697478991596639,0.0,0.4457831325301205,0.48888888888888893,1.0,0.0,0.0,0.0,0.04333516182117392
0.6785714285714285,0.7312348668280871,0.4,0.4285714285714286,0.7346938775510203,1.0,1.0,1.0,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.0,0.5594237695078031,0.9428841045845585,0.4337349397590361,0.7666666666666667,0.0,1.0,0.0,0.0,0.4646187602852442
0.7916666666666666,0.0,0.35000000000000003,0.375,0.5714285714285714,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.40756302521008403,0.020312217811109146,0.45783132530120485,0.18888888888888888,0.0,1.0,0.0,0.0,0.12561711464618763
0.8541666666666666,0.461864406779661,0.4,0.675,0.7857142857142856,1.0,0.5,0.5,1.0,0.0,1.0,0.0,0.6932773109243697,0.12902645188223635,0.4337349397590361,0.6777777777777777,0.0,1.0,0.0,0.0,0.38617663192539775
0.6458333333333333,0.0,0.25,0.5,0.5714285714285714,1.0,0.5,0.0,1.0,0.0,0.5,0.5,0.35294117647058826,0.008120388298521061,0.43847619821613604,0.3933887952032977,0.0,0.0,0.0,1.0,0.4465167306637411
0.49166666666666664,0.23389830508474577,0.54,0.5,0.5142857142857142,1.0,0.8,0.4,0.8,0.4,0.4,0.2,0.4487394957983193,0.08565772794229394,0.4819277108433735,0.9888888888888888,1.0,0.0,0.0,0.0,0.12671420735052108
0.5833333333333333,0.8983050847457628,0.0,0.0,0.14285714285714285,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.6050420168067226,0.16303760589000368,0.1204819277108434,0.4222222222222223,1.0,0.0,0.0,0.0,0.1760833790455293
0.7638888888888888,0.0,0.33333333333333337,0.41666666666666674,0.5714285714285714,1.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.44537815126050423,0.018355226791796676,0.0963855421686747,0.34444444444444444,0.0,1.0,0.0,0.0,0.7202413603949535
0.8541666666666666,0.0,0.5,0.625,0.7857142857142856,1.0,0.5,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.6385542168674699,0.12222222222222223,0.0,1.0,0.0,0.0,0.15139879319802518
0.4375,0.4279661016949153,0.1,0.25,0.28571428571428564,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.2857142857142857,0.0,0.07228915662650606,0.1333333333333333,0.0,1.0,0.0,0.0,0.17498628634119584
0.6458333333333333,0.7669491525423728,0.75,0.375,0.28571428571428564,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.28991596638655465,0.10252834038302062,0.5301204819277109,0.5666666666666667,1.0,0.0,0.0,0.0,0.4218321448162369
0.5833333333333333,0.0,0.5,1.0,0.9999999999999998,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5882352941176471,0.36386538599838464,0.5180722891566265,0.4,0.0,1.0,0.0,0.0,0.08886450905101484
0.09722222222222221,0.4152542372881356,0.0,0.0,0.14285714285714285,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.21288515406162464,0.7181482674186135,0.8433734939759037,0.2666666666666666,1.0,0.0,0.0,0.0,0.5518376302797586
0.5833333333333333,0.7288135593220338,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.0058934673216259875,0.43847619821613604,0.3933887952032977,0.0,0.0,0.0,1.0,0.38782227098189803
0.7916666666666666,0.8050847457627118,0.65,0.42500000000000004,0.5714285714285714,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5714285714285714,0.12041119434113665,0.4457831325301205,0.5888888888888889,0.0,1.0,0.0,0.0,0.53976961053209
0.875,0.0,0.2,0.5,0.5714285714285714,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.036144578313253045,0.3222222222222222,0.0,1.0,0.0,0.0,0.11025781678551838
